media_score,varianza_params,prob_mut,prob_cross
0.7318536833855798,0.12556669543745638,0.4,0.6
0.7343316222570533,0.11824153310206248,0.5,0.5
0.7330916144200628,0.13042708300775985,0.4,0.6
0.7358692789968653,0.12353649602086338,0.30000000000000004,0.7
0.7378084247648904,0.10471186415180166,0.4,0.6
0.730903565830721,0.12724752708866183,0.30000000000000004,0.7
0.7369330721003134,0.10091696542765564,0.4,0.6
0.7296151645768024,0.11830865686336202,0.5,0.5
0.7278498040752353,0.12203181453537838,0.4,0.6
0.729764655172414,0.10819467682669438,0.5,0.5
0.7300880877742947,0.11438827235182977,0.6,0.4
0.7245854231974923,0.12686201438305014,0.5,0.5
0.7257235893416927,0.1219047711696399,0.4,0.6
0.7311149686520376,0.11200333031890125,0.5,0.5
0.7297267633228839,0.11977997093290829,0.6,0.4
0.7259495689655172,0.13418488832379213,0.5,0.5
0.7296771159874608,0.11951740225252751,0.6,0.4
0.7271253918495298,0.15115611902808734,0.5,0.5
0.7327526645768024,0.13229491213099048,0.4,0.6
0.735417789968652,0.10913403633132406,0.5,0.5
0.7296396943573668,0.12266482228339665,0.4,0.6
0.733130368338558,0.11700005613840983,0.5,0.5
0.7340308777429466,0.12097858742817359,0.4,0.6
0.7364325235109718,0.10514519336419906,0.5,0.5
0.730765948275862,0.12023239996496601,0.4,0.6
0.734217554858934,0.1087675478398402,0.5,0.5
0.7303389498432602,0.12020698623682767,0.4,0.6
0.7353809169278996,0.10307504361342369,0.5,0.5
0.7360558777429467,0.11968087874336408,0.6,0.4
0.7345174764890282,0.12032773454758079,0.5,0.5
0.7327654388714733,0.12482335806337339,0.4,0.6
0.736530564263323,0.09876847974751247,0.5,0.5
0.7316645768025077,0.12180400892033393,0.4,0.6
0.7400467868338559,0.10763611839684005,0.5,0.5
0.7310532915360503,0.12464227932347814,0.4,0.6
0.7320048197492164,0.11808475935279686,0.5,0.5
0.7334552115987463,0.12406041315421734,0.4,0.6
0.7379210423197493,0.09760588670501905,0.5,0.5
0.7301387539184953,0.116022014958046,0.6,0.4
0.7309516065830719,0.1360018597549419,0.5,0.5
0.7357933777429466,0.11205385917387277,0.6,0.4
0.7346041144200626,0.12060876228425314,0.5,0.5
0.7361931426332289,0.11319612261683387,0.6,0.4
0.7242095219435737,0.12571103233830833,0.5,0.5
0.7279252742946707,0.11700573920108158,0.6,0.4
0.7293153213166144,0.1201490624068113,0.5,0.5
0.72929118338558,0.12308118937384259,0.4,0.6
0.7339443181818183,0.11014597697310137,0.5,0.5
0.7334683777429468,0.1203067191852154,0.4,0.6
0.7401213557993731,0.11037310343234209,0.5,0.5
0.7346559561128528,0.12238728786492307,0.4,0.6
0.7372820141065833,0.11139606611690006,0.5,0.5
0.7318410266457681,0.12293784619049944,0.4,0.6
0.7320040752351098,0.11227109358233746,0.5,0.5
0.7299407523510973,0.13297032188357363,0.4,0.6
0.7327171630094044,0.1187866653762898,0.5,0.5
0.7351560736677117,0.11305743337744385,0.6,0.4
0.7325162617554859,0.12025763450588024,0.5,0.5
0.7335287225705329,0.10973414551158776,0.6,0.4
0.7301124608150471,0.125618906996652,0.5,0.5
0.7325399294670847,0.1098101718935757,0.6,0.4
0.7287614420062696,0.12276756626247422,0.5,0.5
0.7353797021943572,0.11753512603965914,0.6,0.4
0.7338784874608151,0.12078954063894652,0.5,0.5
0.7370825235109717,0.10281819058713589,0.6,0.4
0.7321163009404387,0.11950277436836763,0.7,0.30000000000000004
0.7307402429467084,0.12919557801325962,0.6,0.4
0.7350172021943574,0.11662921767288373,0.7,0.30000000000000004
0.7293887931034483,0.12833131637665932,0.6,0.4
0.7316398119122256,0.12197390484485325,0.5,0.5
0.7309644200626958,0.11838697013947569,0.6,0.4
0.7281631269592477,0.13004418953083643,0.5,0.5
0.7310523902821315,0.1304872669511912,0.4,0.6
0.7352047805642633,0.11842334446226398,0.5,0.5
0.733028448275862,0.13068235356867897,0.4,0.6
0.7337034482758621,0.13640426849051576,0.30000000000000004,0.7
0.7392954937304076,0.13812606162289123,0.20000000000000004,0.7999999999999999
0.7385704937304075,0.14630936979575696,0.10000000000000003,0.8999999999999999
0.7419606974921631,0.12829473779531703,0.1,0.9
0.7427236677115987,0.1289624586616385,0.1,0.9
0.7432611285266458,0.11949800231820414,0.2,0.8
0.7383195924764889,0.12642855759064545,0.1,0.9
0.7387952978056426,0.12344441944461461,0.1,0.9
0.7397334639498432,0.11759956037504028,0.2,0.8
0.7328557210031346,0.1178325408466812,0.30000000000000004,0.7000000000000001
0.7360058385579937,0.12295998410898289,0.20000000000000004,0.8
0.7404339341692792,0.11861770102207125,0.30000000000000004,0.7000000000000001
0.7397086206896551,0.1150799789331082,0.4,0.6000000000000001
0.7340041144200627,0.12393240960196979,0.30000000000000004,0.7000000000000001
0.7398461990595613,0.11740415476781459,0.4,0.6000000000000001
0.7298390282131662,0.12541358267870992,0.30000000000000004,0.7000000000000001
0.7341428683385581,0.12212270360514112,0.20000000000000004,0.8
0.738246277429467,0.11410952252967653,0.30000000000000004,0.7000000000000001
0.733767594043887,0.11482250120479374,0.4,0.6000000000000001
0.7348436128526646,0.12213460058847114,0.30000000000000004,0.7000000000000001
0.7372204153605018,0.11534374988008365,0.4,0.6000000000000001
0.7304651645768026,0.1218119032939467,0.30000000000000004,0.7000000000000001
0.7357440830721004,0.10981036177332752,0.4,0.6000000000000001
0.7364579937304075,0.11373931730113479,0.5,0.5000000000000001
0.7342687695924763,0.11875291797771804,0.6,0.40000000000000013
0.7323177115987461,0.1304524041648298,0.5,0.5000000000000001
0.7363438871473353,0.1253041458096001,0.4,0.6000000000000001
0.7347174373040751,0.1255007772149946,0.30000000000000004,0.7000000000000001
0.7373326802507835,0.11117487946374238,0.4,0.6000000000000001
