Algorithm,Series,Iterations,T0,Tf,L,coolingFunction,Execution,MSE,Time
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,15,1.1067782028164594,1.2562615871429443
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,16,1.2718709116194042,1.2692606449127197
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,17,1.0617026675841619,1.2455105781555176
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,18,1.4061755241739955,1.2776319980621338
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,19,1.3900293052039667,1.275904893875122
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,20,1.2562415647318992,1.273714303970337
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,1,1.3795345095101257,1.275686502456665
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,2,1.2995687253451642,1.2862741947174072
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,3,1.3306753808831924,1.2853953838348389
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,4,1.2878978942162271,1.2540497779846191
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,5,1.2232428644597562,1.2682695388793945
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,6,1.1851589576223502,1.2468085289001465
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,7,1.1304896483205125,1.2767884731292725
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,8,1.3577511843945902,1.2761666774749756
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,9,1.1526306729029399,1.3119335174560547
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,10,1.2371268452406483,1.2932283878326416
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,11,1.0777496066368448,1.302384614944458
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,12,1.215958505676896,1.2821357250213623
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,13,1.1819481450958587,1.2768495082855225
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,14,1.2950581566311423,1.2816073894500732
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,15,1.1063620822461044,1.2473537921905518
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,16,1.1690880806900839,1.27229905128479
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,17,1.2562652362249556,1.231616735458374
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,18,1.2248381066248841,1.2645010948181152
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,19,1.388056372452882,1.271897554397583
SA_LogarithmCooling,TS2.txt,200,10,0.01,30,Logarithm,20,0.9772747597406036,1.2091827392578125
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,1,1.1551238969112094,1.2482469081878662
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,2,1.0630406717687393,1.2827091217041016
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,3,1.1750595840031368,1.2667639255523682
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,4,0.9916165226661662,1.1642570495605469
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,5,1.0097126522950082,1.2530460357666016
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,6,1.1670893580046318,1.2536532878875732
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,7,0.9811398920761378,1.293464183807373
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,8,1.1235049710830487,1.2639062404632568
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,9,1.1797497098845517,1.255875587463379
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,10,0.8357591536090178,1.247030258178711
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,11,1.1831193537057048,1.2207810878753662
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,12,1.0340498803023617,1.2495636940002441
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,13,1.1149280437502562,1.2735421657562256
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,14,1.0906050308940505,1.2353100776672363
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,15,1.3136891066141552,1.257108449935913
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,16,1.0998804990905575,1.3012113571166992
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,17,1.2901928080933869,1.2288634777069092
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,18,0.788513093347696,1.2580223083496094
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,19,0.9992534302557268,1.2705748081207275
SA_GeometricCooling,TS2.txt,200,10,0.01,30,Geometric,20,1.044520849502058,1.2759578227996826
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,1,0.5533028611481955,2.3034284114837646
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,2,0.5267272695868003,2.5178964138031006
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,3,0.5442537609532649,2.4056801795959473
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,4,0.5499607900728529,2.404881477355957
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,5,0.5920144797510646,2.3994054794311523
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,6,0.5850780418696233,2.4301717281341553
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,7,0.49973744453974145,2.4694247245788574
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,8,0.5053391359221672,2.355053424835205
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,9,0.5052182606279187,2.2955172061920166
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,10,0.5448495658995901,2.391092300415039
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,11,0.497104542196989,2.48158860206604
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,12,0.581215879866501,2.4277567863464355
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,13,0.5308737972001472,2.47196102142334
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,14,0.5081087006406275,2.5260825157165527
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,15,0.5247138349753392,2.305251121520996
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,16,0.572477063232501,2.419001340866089
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,17,0.5632199999985867,2.4924476146698
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,18,0.5077193303242454,2.429250717163086
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,19,0.5553234852537967,2.4633142948150635
SA_LinearCooling,TS3.txt,200,10,0.01,30,Linear,20,0.5377137735264987,2.2897157669067383
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,1,0.4279103092685065,2.2788140773773193
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,2,0.5226953032919942,2.2664294242858887
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,3,0.5078959242841897,2.325850486755371
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,4,0.5404707004069467,2.3413150310516357
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,5,0.5116484850476829,2.2560629844665527
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,6,0.5546280979906686,2.3139023780822754
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,7,0.5536711039109592,2.325394868850708
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,8,0.5467772583800476,2.322585105895996
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,9,0.4450307414117985,2.291551113128662
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,10,0.5857578269537913,2.3589749336242676
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,11,0.5248467519309646,2.3711841106414795
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,12,0.46768674189094417,2.312551498413086
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,13,0.47107198163402986,2.3174514770507812
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,14,0.5246713145765209,2.25889253616333
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,15,0.5089524842507512,2.292266368865967
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,16,0.3715710837931593,2.2413885593414307
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,17,0.5617893188679883,2.3433432579040527
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,18,0.4733302034434768,2.2924888134002686
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,19,0.5680890797013751,2.3580727577209473
SA_LogarithmCooling,TS3.txt,200,10,0.01,30,Logarithm,20,0.553423570319206,2.397648572921753
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,1,0.37929204580471143,2.1618058681488037
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,2,0.46324271776653364,2.265735387802124
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,3,0.44625175941329137,2.2251057624816895
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,4,0.4462587044479176,2.2409090995788574
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,5,0.4216822602232565,2.2598297595977783
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,6,0.4115289333126288,2.2216367721557617
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,7,0.39041736960490286,2.162675380706787
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,8,0.4196711347526878,2.2373287677764893
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,9,0.4157862911890822,2.2888636589050293
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,10,0.41981594332268707,2.2264065742492676
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,11,0.45320945359932774,2.2684147357940674
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,12,0.4466907519581634,2.3631069660186768
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,13,0.39065092407731505,2.370896339416504
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,14,0.4700590287794202,2.293667793273926
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,15,0.36885000349558095,2.1621785163879395
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,16,0.41741292754373005,2.1698215007781982
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,17,0.42735856751221996,2.2437891960144043
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,18,0.44688215937999154,2.193711042404175
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,19,0.4247484865240452,2.1865508556365967
SA_GeometricCooling,TS3.txt,200,10,0.01,30,Geometric,20,0.3658947275922664,2.3127248287200928
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,1,1.130035803541451,4.1127400398254395
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,2,1.2588503761624954,4.390748977661133
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,3,1.294889972446562,4.303430795669556
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,4,1.2670501773618377,4.3317177295684814
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,5,1.315177833623963,4.421495199203491
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,6,1.2074485822268393,4.29273796081543
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,7,1.2214594385647513,4.2428202629089355
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,8,1.2194389506564527,4.2646565437316895
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,9,1.3156822431484432,4.4931464195251465
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,10,1.200022321171382,4.2483367919921875
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,11,1.15228865018198,4.126508951187134
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,12,1.2066677976621876,4.431575536727905
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,13,1.2964213869166534,4.396493196487427
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,14,1.1476865657395827,4.321073770523071
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,15,1.1592645416111989,4.543948173522949
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,16,1.2647890783224098,4.614465951919556
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,17,1.150892778926591,4.551652431488037
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,18,1.382096978115432,4.711239814758301
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,19,1.1723071606447133,4.559769153594971
SA_LinearCooling,TS4.txt,200,10,0.01,30,Linear,20,1.2029158462166587,4.601858377456665
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,1,1.277057875778514,4.611688137054443
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,2,1.1739136692727579,4.613488674163818
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,3,1.1741829217383668,4.486413955688477
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,4,1.1883298822685149,4.450528383255005
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,5,1.2326384344742904,4.410370111465454
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,6,1.2029841758571902,4.533461332321167
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,7,1.1827561739034453,4.403618812561035
SA_LogarithmCooling,TS4.txt,200,10,0.01,30,Logarithm,8,1.1794395079100912,4.369793176651001
